Name,Labelbox category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely Values,Supervisely Category,Checkbox for follow-up,Assigned to
"""Keep Shape""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Keep Shape?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Keep Shape""","""* Keep Shape?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Rectangular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Rectangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular""","""Rectangular""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Polygonal""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Polygonal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal""","""Polygonal""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Keep features (embrasures are pear-shaped, machicolations are projected walls at the top of the keep with crenelations above and corbels below, and arched buttresses are large, blind arches pressed against the wall)""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Keep features (embrasures are pear-shaped, machicolations are projected walls at the top of the keep with crenelations above and corbels below, and arched buttresses are large, blind arches pressed against the wall)""",,,,Abbey List
"""Arrow slits""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Arrow slits (Individual)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Arrow slits""","""Arrow slits (Individual)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Door""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Door""","""Door (Round-headed)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Grilled window""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""(Window (Grilled)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Grilled window""","""(Window (Grilled)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Square window""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Window (Rectangular)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Square window""","""Window (Rectangular)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Round-headed window""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Window (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round-headed window""","""Window (Round-headed)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Breteche'""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Breteche"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Breteche'""","""Breteche""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Round-based embrasures""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round-based embrasures""","""Embrasures""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Tripled arrow slits""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Arrow slits (Tripled)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Tripled arrow slits""","""Arrow slits (Tripled)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Arched buttress""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Arched Buttress"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Arched buttress""","""Arched Buttress""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Ladder or stairs""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Ladder or stairs"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Ladder or stairs""","""Ladder or stairs""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Corbelled corner turrets""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Corbelled corner turrets"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Corbelled corner turrets""","""Corbelled corner turrets""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Peaked window""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""(Window (Peaked)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Peaked window""","""(Window (Peaked)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Machicolations""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Machicolations"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Machicolations""","""Machicolations""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Curved or Straight?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Curved wall or straight?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Curved or Straight?""","""* Curved wall or straight?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Curved Horizontally""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Curved (Horizontal only)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Curved Horizontally""","""Curved (Horizontal only)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Curved Vertically (follows terrain)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Curved (Vertical - following terrain - only)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Curved Vertically (follows terrain)""","""Curved (Vertical - following terrain - only)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Straight""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Straight"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Straight""","""Straight""","""objects"" -> ""tags"" -> ""value""",,Abbey List
